Crop,Region,State,District,Season,Area_Acres,Avg_Rainfall_mm,Yield_Quintal,Soil_Type
Cotton,East,West Bengal,District-49,Kharif,160,923,681.29,Loamy
Rice,North,Haryana,District-23,Rabi,25,930,51.92,Alluvial
Pulses,North,Punjab,District-3,Kharif,267,447,679.68,Black
Rice,South,Tamil Nadu,District-10,Annual,247,1392,945.08,Alluvial
Pulses,South,Andhra Pradesh,District-45,Kharif,109,603,327.93,Loamy
Pulses,Central,Chhattisgarh,District-6,Annual,146,667,395.45,Sandy
Pulses,South,Karnataka,District-33,Kharif,83,591,254.63,Loamy
Wheat,South,Tamil Nadu,District-49,Kharif,239,447,508.39,Black
Wheat,East,Odisha,District-46,Kharif,87,683,310.48,Red
Rice,Central,Chhattisgarh,District-42,Annual,163,989,480.69,Sandy
Maize,North,Haryana,District-22,Rabi,179,614,553.57,Sandy
Wheat,North,Punjab,District-15,Rabi,42,401,177.99,Alluvial
Sugarcane,Central,Chhattisgarh,District-27,Kharif,297,1075,837.51,Sandy
Wheat,South,Andhra Pradesh,District-9,Annual,37,618,133.01,Black
Cotton,Central,Madhya Pradesh,District-18,Rabi,108,987,327.47,Black
Cotton,North,Punjab,District-41,Annual,142,1003,383.5,Black
Pulses,North,Haryana,District-20,Annual,249,381,707.71,Black
Rice,South,Karnataka,District-22,Rabi,250,986,788.24,Black
Maize,West,Rajasthan,District-38,Annual,196,629,553.05,Loamy
Maize,North,Punjab,District-42,Annual,26,632,62.19,Alluvial
Maize,Central,Chhattisgarh,District-47,Annual,79,803,185.31,Loamy
Pulses,Central,Chhattisgarh,District-17,Rabi,191,463,493.09,Alluvial
Sugarcane,East,Bihar,District-48,Kharif,69,1060,248.86,Alluvial
Pulses,East,Odisha,District-37,Annual,66,689,295.14,Black
Cotton,Central,Chhattisgarh,District-2,Annual,88,825,294.85,Alluvial
Cotton,South,Karnataka,District-16,Rabi,16,861,42.49,Loamy
Maize,South,Karnataka,District-49,Annual,41,713,107.21,Sandy
Rice,North,Haryana,District-26,Rabi,78,1028,334.81,Alluvial
Rice,North,Haryana,District-15,Rabi,264,916,605.24,Alluvial
Maize,East,Odisha,District-8,Rabi,200,805,566.22,Loamy
Rice,North,Uttar Pradesh,District-23,Annual,250,1233,1107.92,Loamy
Maize,Central,Madhya Pradesh,District-18,Rabi,106,720,288.1,Sandy
Maize,South,Andhra Pradesh,District-40,Annual,103,690,382.75,Black
Rice,West,Maharashtra,District-31,Rabi,268,1472,1061.08,Alluvial
Cotton,West,Maharashtra,District-37,Annual,10,777,36.56,Red
Rice,South,Tamil Nadu,District-9,Kharif,49,1196,106.21,Black
Rice,East,West Bengal,District-6,Kharif,199,1220,598.97,Alluvial
Maize,East,Odisha,District-38,Kharif,135,592,462.44,Sandy
Cotton,West,Gujarat,District-4,Kharif,184,765,389.26,Alluvial
Pulses,North,Haryana,District-14,Kharif,51,678,149.07,Loamy
Rice,South,Andhra Pradesh,District-33,Kharif,284,1000,717.81,Alluvial
Cotton,East,Odisha,District-22,Kharif,156,603,481.13,Sandy
Pulses,South,Andhra Pradesh,District-41,Rabi,120,447,428.33,Loamy
Cotton,East,West Bengal,District-25,Rabi,204,954,584.93,Alluvial
Rice,Central,Madhya Pradesh,District-29,Rabi,293,1135,1046.89,Red
Rice,East,Odisha,District-41,Kharif,80,1206,193.15,Red
Pulses,East,Odisha,District-30,Annual,23,509,54.95,Red
Wheat,North,Punjab,District-46,Kharif,252,437,844.54,Red
Rice,East,Bihar,District-49,Rabi,229,1268,534.27,Black
Rice,North,Haryana,District-12,Annual,279,1465,1157.66,Black
Pulses,South,Tamil Nadu,District-35,Rabi,97,635,403.73,Sandy
Sugarcane,Central,Madhya Pradesh,District-36,Rabi,285,1058,689.83,Loamy
Cotton,South,Tamil Nadu,District-46,Annual,84,807,273.58,Loamy
Cotton,East,Odisha,District-50,Annual,199,640,845.91,Alluvial
Sugarcane,West,Maharashtra,District-21,Rabi,38,1111,108.53,Loamy
Sugarcane,South,Andhra Pradesh,District-33,Kharif,256,1051,556.08,Sandy
Wheat,East,Bihar,District-22,Kharif,275,660,609.16,Sandy
Maize,West,Rajasthan,District-16,Kharif,225,513,579.43,Black
Sugarcane,South,Karnataka,District-43,Annual,71,1165,152.19,Sandy
Cotton,East,West Bengal,District-42,Kharif,37,802,134.58,Loamy
Pulses,West,Gujarat,District-16,Annual,34,413,117.73,Loamy
Maize,North,Uttar Pradesh,District-37,Annual,140,532,280.46,Alluvial
Pulses,Central,Madhya Pradesh,District-31,Kharif,300,396,703.42,Alluvial
Sugarcane,South,Karnataka,District-13,Annual,59,1325,197.26,Alluvial
Sugarcane,South,Karnataka,District-2,Rabi,153,1046,331.36,Black
Cotton,West,Maharashtra,District-2,Rabi,204,813,585.76,Black
Rice,West,Gujarat,District-25,Annual,256,1403,912.77,Black
Rice,North,Punjab,District-10,Kharif,269,1471,985.67,Alluvial
Maize,North,Uttar Pradesh,District-34,Annual,155,698,537.93,Loamy
Maize,North,Punjab,District-47,Kharif,187,772,754.37,Red
Sugarcane,South,Karnataka,District-1,Kharif,299,1212,816.3,Red
Wheat,South,Tamil Nadu,District-27,Annual,200,551,897.5,Red
Pulses,North,Punjab,District-41,Annual,229,587,512.2,Sandy
Maize,West,Maharashtra,District-3,Kharif,65,583,198.1,Red
Cotton,East,West Bengal,District-50,Rabi,230,942,593.81,Sandy
Maize,Central,Madhya Pradesh,District-15,Kharif,203,815,835.36,Black
Wheat,Central,Chhattisgarh,District-46,Kharif,60,643,214.53,Alluvial
Sugarcane,West,Gujarat,District-13,Rabi,47,1369,102.84,Alluvial
Maize,North,Uttar Pradesh,District-35,Rabi,254,843,973.03,Red
Rice,North,Haryana,District-31,Rabi,281,1160,932.13,Sandy
Cotton,East,Odisha,District-38,Annual,224,928,516.58,Sandy
Rice,West,Gujarat,District-7,Annual,163,1323,408.28,Red
Sugarcane,West,Rajasthan,District-13,Kharif,186,1143,700.77,Sandy
Wheat,North,Uttar Pradesh,District-43,Rabi,118,754,412,Sandy
Maize,South,Karnataka,District-15,Kharif,231,753,562.03,Black
Cotton,Central,Madhya Pradesh,District-26,Kharif,246,1096,657.74,Red
Wheat,East,Bihar,District-15,Kharif,63,545,265.12,Sandy
Maize,North,Uttar Pradesh,District-23,Annual,241,540,999.98,Red
Sugarcane,Central,Madhya Pradesh,District-37,Kharif,266,1187,1134.48,Black
Maize,East,Bihar,District-43,Annual,16,547,60.14,Alluvial
Cotton,North,Uttar Pradesh,District-47,Kharif,226,821,889.22,Alluvial
Cotton,South,Karnataka,District-35,Rabi,71,985,291.58,Alluvial
Sugarcane,Central,Chhattisgarh,District-1,Rabi,90,1118,325.54,Red
Wheat,East,Bihar,District-35,Kharif,91,645,233.31,Sandy
Cotton,South,Karnataka,District-24,Annual,55,700,231.25,Loamy
Rice,East,Odisha,District-5,Annual,100,1232,311.14,Black
Maize,West,Rajasthan,District-26,Annual,17,863,73.88,Loamy
Maize,South,Karnataka,District-47,Kharif,126,802,313.71,Red
Sugarcane,East,Odisha,District-6,Annual,156,1566,323.08,Red
Sugarcane,South,Karnataka,District-28,Kharif,42,1410,121.77,Red
Maize,South,Karnataka,District-23,Annual,299,570,1015.86,Loamy
Cotton,West,Rajasthan,District-24,Rabi,228,916,646.02,Alluvial
Maize,North,Punjab,District-45,Annual,203,859,784.92,Red
Wheat,Central,Madhya Pradesh,District-35,Kharif,93,773,249.12,Loamy
Rice,Central,Madhya Pradesh,District-15,Rabi,259,1118,737.72,Sandy
Sugarcane,Central,Chhattisgarh,District-38,Rabi,48,1098,213.61,Loamy
Sugarcane,North,Punjab,District-26,Kharif,264,1466,1046.78,Loamy
Rice,West,Rajasthan,District-38,Annual,54,931,210.93,Loamy
Maize,Central,Chhattisgarh,District-20,Annual,203,720,689.43,Red
Sugarcane,West,Gujarat,District-23,Annual,270,1318,858.57,Loamy
Cotton,West,Maharashtra,District-5,Annual,74,690,317.4,Loamy
Cotton,South,Tamil Nadu,District-29,Kharif,32,730,135.36,Alluvial
Wheat,West,Rajasthan,District-24,Kharif,76,761,292.89,Loamy
Maize,East,Bihar,District-26,Rabi,263,648,549.2,Red
Pulses,South,Tamil Nadu,District-22,Kharif,257,540,993.67,Alluvial
Sugarcane,South,Tamil Nadu,District-28,Rabi,290,1271,635.16,Black
Cotton,South,Karnataka,District-29,Kharif,292,619,1096.74,Red
Cotton,East,Odisha,District-50,Kharif,281,921,1074.35,Sandy
Rice,South,Karnataka,District-46,Annual,201,1015,766.59,Alluvial
Rice,East,Bihar,District-50,Kharif,25,1296,108.5,Sandy
Wheat,North,Haryana,District-34,Rabi,176,711,783.14,Black
Cotton,East,Odisha,District-35,Rabi,239,1089,543.73,Black
Pulses,Central,Madhya Pradesh,District-43,Annual,48,571,174.81,Black
Pulses,South,Tamil Nadu,District-22,Rabi,174,378,545.53,Loamy
Cotton,West,Gujarat,District-21,Kharif,108,802,313.92,Sandy
Wheat,East,Bihar,District-18,Rabi,199,696,745.12,Alluvial
Wheat,West,Rajasthan,District-26,Rabi,41,715,127.78,Loamy
Rice,Central,Chhattisgarh,District-50,Annual,191,1243,594.63,Alluvial
Pulses,East,Odisha,District-46,Rabi,43,569,94.57,Red
Pulses,North,Haryana,District-11,Kharif,121,355,526.25,Red
Maize,West,Gujarat,District-28,Annual,110,852,292.3,Alluvial
Rice,North,Uttar Pradesh,District-40,Rabi,228,1032,822.34,Loamy
Cotton,North,Uttar Pradesh,District-29,Kharif,208,641,750.91,Alluvial
Wheat,West,Maharashtra,District-40,Rabi,36,557,149.32,Black
Wheat,West,Rajasthan,District-12,Kharif,145,637,464.96,Loamy
Cotton,Central,Chhattisgarh,District-5,Rabi,111,857,291.28,Alluvial
Maize,Central,Madhya Pradesh,District-33,Rabi,25,656,75.14,Black
Maize,Central,Madhya Pradesh,District-3,Annual,294,682,755.03,Red
Sugarcane,Central,Madhya Pradesh,District-42,Annual,289,1148,1234.79,Loamy
Wheat,West,Gujarat,District-44,Annual,264,493,597.04,Black
Rice,Central,Madhya Pradesh,District-22,Kharif,34,1104,94.59,Sandy
Cotton,East,Bihar,District-25,Annual,236,696,801.23,Red
Sugarcane,East,West Bengal,District-45,Kharif,261,1578,850.47,Red
Pulses,East,West Bengal,District-28,Annual,30,607,64.31,Red
Sugarcane,West,Maharashtra,District-10,Rabi,278,1196,641.46,Sandy
Cotton,East,Odisha,District-26,Kharif,73,1089,278.33,Alluvial
Rice,Central,Chhattisgarh,District-48,Kharif,287,1103,933.05,Black
Sugarcane,West,Gujarat,District-11,Annual,130,1564,584.12,Alluvial
Sugarcane,Central,Chhattisgarh,District-41,Rabi,196,1051,450.83,Red
Wheat,South,Karnataka,District-50,Kharif,229,470,895.06,Sandy
Maize,East,West Bengal,District-36,Rabi,154,692,537.6,Sandy
Maize,North,Uttar Pradesh,District-37,Kharif,294,713,1247.55,Sandy
Rice,West,Gujarat,District-34,Kharif,262,1056,1173.59,Black
Pulses,East,West Bengal,District-20,Annual,19,450,41.56,Sandy
Sugarcane,North,Punjab,District-45,Rabi,87,1191,268.33,Alluvial
Wheat,Central,Chhattisgarh,District-33,Rabi,59,513,183.9,Sandy
Pulses,North,Punjab,District-5,Annual,183,689,673.38,Loamy
Rice,North,Haryana,District-30,Rabi,250,1405,648.5,Red
Cotton,East,Odisha,District-17,Rabi,15,703,56.58,Alluvial
Maize,West,Rajasthan,District-49,Kharif,108,639,439.31,Alluvial
Sugarcane,East,West Bengal,District-18,Rabi,104,1058,429.37,Black
Wheat,North,Uttar Pradesh,District-27,Rabi,153,761,340.72,Black
Maize,North,Uttar Pradesh,District-48,Kharif,234,776,718.57,Red
Rice,West,Maharashtra,District-25,Rabi,65,951,209.58,Loamy
Maize,West,Rajasthan,District-17,Annual,79,553,256.36,Red
Pulses,West,Rajasthan,District-24,Annual,119,553,378.47,Loamy
Rice,Central,Madhya Pradesh,District-25,Rabi,61,1082,144.64,Alluvial
Cotton,South,Andhra Pradesh,District-44,Kharif,264,727,1150.69,Black
Cotton,North,Punjab,District-10,Kharif,277,801,651.23,Alluvial
Sugarcane,South,Andhra Pradesh,District-48,Rabi,67,1109,135.27,Loamy
Sugarcane,East,Odisha,District-34,Rabi,80,1334,306.45,Red
Pulses,South,Tamil Nadu,District-24,Kharif,290,422,883.91,Sandy
Pulses,North,Haryana,District-42,Kharif,194,421,394.7,Black
Maize,West,Gujarat,District-17,Kharif,89,738,358.81,Red
Sugarcane,South,Tamil Nadu,District-2,Annual,102,1066,262.63,Sandy
Sugarcane,East,Bihar,District-46,Kharif,34,1084,123.94,Sandy
Maize,East,Odisha,District-23,Annual,142,820,464.52,Loamy
Pulses,South,Andhra Pradesh,District-8,Annual,14,504,42.51,Sandy
Maize,East,Odisha,District-37,Annual,119,797,433.53,Sandy
Sugarcane,East,West Bengal,District-14,Rabi,137,1022,283.09,Red
Maize,Central,Madhya Pradesh,District-38,Rabi,23,543,72.32,Loamy
Pulses,West,Rajasthan,District-9,Rabi,136,664,281.9,Alluvial
Rice,East,Odisha,District-35,Annual,43,1408,132.79,Black
Maize,South,Andhra Pradesh,District-42,Rabi,30,694,109.13,Sandy
Sugarcane,North,Haryana,District-14,Kharif,181,1053,376.8,Black
Pulses,North,Punjab,District-35,Rabi,261,581,1170.79,Black
Wheat,South,Karnataka,District-9,Annual,108,538,227.64,Sandy
Sugarcane,South,Karnataka,District-15,Rabi,253,1094,878.02,Black
Maize,North,Punjab,District-42,Rabi,295,890,1111.82,Red
Wheat,West,Maharashtra,District-26,Annual,221,541,815.24,Red
Rice,North,Haryana,District-8,Kharif,69,925,270.11,Sandy
Maize,West,Maharashtra,District-6,Rabi,52,502,219.97,Loamy
Rice,East,Bihar,District-18,Annual,70,1469,223.53,Red
Rice,South,Tamil Nadu,District-5,Kharif,297,1447,868.72,Black
Rice,North,Haryana,District-5,Annual,72,990,284.8,Sandy
Sugarcane,South,Andhra Pradesh,District-2,Kharif,146,1226,594.63,Red
Maize,North,Haryana,District-1,Annual,57,542,242.01,Red
Cotton,South,Andhra Pradesh,District-43,Rabi,50,883,175.04,Red
Maize,Central,Chhattisgarh,District-29,Annual,191,616,389.05,Alluvial
Sugarcane,North,Uttar Pradesh,District-2,Rabi,100,1080,302.81,Alluvial
Cotton,East,Odisha,District-1,Annual,67,660,281.63,Loamy
Rice,Central,Madhya Pradesh,District-6,Rabi,99,1382,297.21,Loamy
Sugarcane,West,Gujarat,District-16,Kharif,72,1268,249.14,Sandy
Maize,East,Odisha,District-10,Annual,131,704,537.88,Loamy
Sugarcane,North,Punjab,District-45,Annual,100,1371,228.97,Sandy
Maize,South,Andhra Pradesh,District-33,Rabi,185,779,502.6,Loamy
Maize,North,Haryana,District-28,Kharif,132,594,360.26,Red
Wheat,North,Uttar Pradesh,District-3,Kharif,71,692,289.87,Sandy
Rice,South,Tamil Nadu,District-17,Kharif,33,929,104.46,Red
Wheat,Central,Madhya Pradesh,District-46,Kharif,190,634,632.77,Sandy
Cotton,South,Karnataka,District-8,Kharif,42,999,169.69,Red
Maize,South,Andhra Pradesh,District-2,Rabi,57,723,181.46,Sandy
Wheat,North,Uttar Pradesh,District-25,Annual,105,540,306.93,Loamy
Rice,East,Odisha,District-35,Kharif,71,925,294.91,Loamy
Rice,North,Uttar Pradesh,District-12,Rabi,151,1172,436.48,Sandy
Rice,North,Punjab,District-8,Rabi,85,1337,191.12,Red
Cotton,East,Bihar,District-11,Rabi,93,915,381.68,Alluvial
Wheat,South,Tamil Nadu,District-11,Annual,282,757,814.7,Alluvial
Sugarcane,North,Uttar Pradesh,District-34,Rabi,71,1534,179.09,Sandy
Maize,Central,Madhya Pradesh,District-41,Rabi,77,841,341.39,Sandy
Rice,West,Rajasthan,District-43,Annual,116,1435,298.53,Alluvial
Wheat,South,Tamil Nadu,District-48,Annual,275,536,1155.38,Red
Rice,South,Tamil Nadu,District-34,Kharif,287,953,1173.28,Red
Sugarcane,West,Rajasthan,District-33,Annual,146,1351,576.63,Alluvial
Maize,West,Gujarat,District-37,Rabi,155,673,621.58,Black
Pulses,West,Gujarat,District-11,Rabi,116,388,233.56,Sandy
Cotton,West,Gujarat,District-10,Rabi,67,883,251.18,Red
Wheat,North,Punjab,District-21,Rabi,219,672,854.09,Sandy
Wheat,South,Andhra Pradesh,District-4,Rabi,138,482,525.12,Sandy
Pulses,South,Andhra Pradesh,District-29,Rabi,196,605,598.86,Alluvial
Wheat,North,Punjab,District-46,Rabi,151,760,633.21,Loamy
Rice,North,Haryana,District-18,Kharif,125,1163,306.57,Alluvial
Maize,East,Odisha,District-27,Annual,83,711,238.34,Black
Pulses,Central,Chhattisgarh,District-48,Kharif,262,613,802.04,Sandy
Wheat,North,Haryana,District-26,Kharif,172,709,728.43,Loamy
Rice,East,Odisha,District-39,Annual,197,1345,582.5,Sandy
Cotton,North,Haryana,District-25,Rabi,109,853,430.42,Loamy
Sugarcane,Central,Madhya Pradesh,District-26,Rabi,10,1447,33.19,Red
Pulses,East,West Bengal,District-23,Annual,171,386,646.51,Alluvial
Sugarcane,South,Andhra Pradesh,District-7,Kharif,267,1296,1161.6,Loamy
Rice,Central,Madhya Pradesh,District-1,Rabi,261,1267,935.47,Sandy
Maize,East,West Bengal,District-36,Rabi,30,625,124.18,Sandy
Cotton,West,Maharashtra,District-50,Annual,194,679,618.17,Loamy
Rice,West,Rajasthan,District-32,Annual,187,1484,575.39,Loamy
Wheat,Central,Madhya Pradesh,District-43,Kharif,50,740,129.84,Loamy
Wheat,Central,Chhattisgarh,District-4,Rabi,158,613,521.47,Sandy
Maize,West,Rajasthan,District-1,Kharif,95,742,336.87,Black
Sugarcane,North,Punjab,District-36,Kharif,214,1239,441.02,Black
Cotton,South,Andhra Pradesh,District-22,Rabi,294,833,759.15,Alluvial
Maize,North,Punjab,District-37,Annual,172,517,464.42,Loamy
Wheat,North,Haryana,District-37,Annual,293,764,590.39,Loamy
Pulses,West,Gujarat,District-29,Annual,43,379,102.54,Loamy
Sugarcane,Central,Madhya Pradesh,District-39,Kharif,223,1561,553.18,Sandy
Sugarcane,West,Gujarat,District-47,Rabi,104,1025,255.83,Red
Cotton,North,Punjab,District-39,Annual,242,820,558.42,Red
Cotton,East,Bihar,District-23,Rabi,252,846,950.84,Sandy
Maize,West,Maharashtra,District-22,Annual,81,820,350.92,Black
Maize,South,Karnataka,District-34,Rabi,270,764,607.93,Sandy
Maize,East,Odisha,District-28,Rabi,33,711,94.39,Alluvial
Sugarcane,West,Gujarat,District-48,Kharif,140,1498,533.55,Sandy
Pulses,South,Tamil Nadu,District-9,Rabi,184,568,368.83,Black
Cotton,South,Karnataka,District-32,Kharif,236,897,1037.27,Sandy
Sugarcane,South,Karnataka,District-50,Annual,148,1444,458.22,Alluvial
Sugarcane,North,Haryana,District-36,Kharif,198,1362,605.07,Red
Sugarcane,West,Maharashtra,District-24,Annual,10,1029,38.35,Red
Sugarcane,South,Tamil Nadu,District-18,Kharif,137,1427,472.69,Black
Cotton,Central,Madhya Pradesh,District-49,Rabi,209,946,677.23,Loamy
Cotton,South,Karnataka,District-5,Annual,218,874,977.76,Black
Wheat,North,Haryana,District-49,Kharif,70,772,269.94,Red
Sugarcane,East,Odisha,District-47,Rabi,221,1032,654.63,Black
Rice,North,Punjab,District-3,Annual,87,979,220.63,Black
Cotton,South,Karnataka,District-49,Kharif,175,741,546.52,Sandy
Maize,Central,Madhya Pradesh,District-17,Annual,278,841,881.64,Black
Rice,North,Punjab,District-34,Annual,231,1158,736.84,Red
Cotton,North,Punjab,District-7,Kharif,58,1044,251.46,Black
Rice,North,Haryana,District-28,Annual,170,957,511.09,Red
Cotton,North,Punjab,District-16,Rabi,70,672,293.85,Alluvial
Cotton,West,Rajasthan,District-14,Rabi,205,1018,726.05,Black
Cotton,Central,Chhattisgarh,District-44,Annual,154,776,530.54,Black
Sugarcane,South,Andhra Pradesh,District-47,Rabi,152,1206,605.46,Alluvial
Sugarcane,North,Haryana,District-37,Annual,49,1085,215.38,Loamy
Sugarcane,North,Uttar Pradesh,District-37,Kharif,119,1130,286.13,Red
Sugarcane,Central,Chhattisgarh,District-21,Annual,58,1309,248.49,Sandy
Sugarcane,East,Bihar,District-4,Rabi,284,1152,834.11,Red
Pulses,Central,Madhya Pradesh,District-30,Rabi,97,330,248.1,Loamy
Wheat,West,Gujarat,District-14,Rabi,299,608,953.39,Loamy
Sugarcane,North,Punjab,District-20,Kharif,123,1238,482.43,Red
Cotton,East,West Bengal,District-20,Kharif,72,912,319.68,Red
Sugarcane,East,Bihar,District-31,Kharif,22,1386,98.38,Black
Cotton,North,Punjab,District-16,Annual,125,1083,446.78,Red
Rice,East,Odisha,District-29,Kharif,62,990,277.35,Sandy
Sugarcane,East,West Bengal,District-6,Annual,79,1273,276.99,Red
Maize,West,Maharashtra,District-22,Annual,199,620,892.31,Alluvial
Sugarcane,South,Tamil Nadu,District-9,Annual,209,1257,640.63,Red
Sugarcane,Central,Chhattisgarh,District-31,Rabi,256,1004,707.42,Black
Wheat,Central,Chhattisgarh,District-1,Annual,153,487,599.33,Black
Maize,Central,Chhattisgarh,District-17,Kharif,138,804,511.21,Red
Pulses,West,Rajasthan,District-39,Kharif,206,615,655.29,Alluvial
Rice,West,Maharashtra,District-26,Annual,26,1430,108.8,Red
Maize,East,Bihar,District-19,Kharif,101,743,345.59,Loamy
Cotton,South,Tamil Nadu,District-48,Kharif,69,655,205.95,Loamy
Pulses,North,Uttar Pradesh,District-31,Rabi,251,418,1074.42,Alluvial
Cotton,North,Uttar Pradesh,District-40,Kharif,229,977,602.15,Black
Rice,East,Bihar,District-46,Rabi,170,1445,623.58,Sandy
Sugarcane,South,Tamil Nadu,District-32,Rabi,185,1129,429.61,Black
Wheat,Central,Madhya Pradesh,District-13,Rabi,73,445,244.23,Red
Maize,South,Andhra Pradesh,District-43,Rabi,54,586,239.98,Black
Sugarcane,West,Rajasthan,District-50,Annual,296,1160,1106.56,Sandy
Maize,Central,Chhattisgarh,District-5,Annual,122,766,516.6,Alluvial
Rice,North,Punjab,District-15,Annual,145,1056,531.64,Loamy
Rice,South,Karnataka,District-27,Rabi,15,1387,64.69,Red
Pulses,South,Andhra Pradesh,District-38,Kharif,241,449,672.35,Loamy
Wheat,South,Andhra Pradesh,District-10,Annual,74,704,267.62,Black
Cotton,Central,Madhya Pradesh,District-1,Annual,177,1047,357.68,Red
Sugarcane,East,Bihar,District-29,Rabi,23,1535,88.86,Red
Sugarcane,East,Bihar,District-1,Annual,63,1187,156.28,Loamy
Cotton,Central,Madhya Pradesh,District-50,Rabi,159,814,443.25,Loamy
Wheat,West,Maharashtra,District-14,Kharif,220,709,598.23,Black
Sugarcane,South,Andhra Pradesh,District-30,Rabi,217,1179,767.18,Alluvial
Rice,North,Haryana,District-3,Rabi,283,961,906.34,Sandy
Maize,Central,Chhattisgarh,District-41,Rabi,245,847,973.43,Black
Wheat,North,Haryana,District-8,Annual,175,487,573.32,Sandy
Maize,Central,Madhya Pradesh,District-21,Annual,96,874,222.56,Alluvial
Pulses,West,Maharashtra,District-6,Kharif,106,448,298.69,Loamy
Maize,North,Punjab,District-27,Rabi,233,613,1010.55,Red
Pulses,West,Maharashtra,District-18,Kharif,210,699,762.73,Red
Maize,South,Andhra Pradesh,District-27,Annual,156,837,507.79,Alluvial
Maize,South,Andhra Pradesh,District-11,Kharif,69,671,232.66,Black
Rice,West,Rajasthan,District-35,Annual,82,1471,221.07,Black
Wheat,Central,Madhya Pradesh,District-11,Kharif,158,687,598.53,Red
Sugarcane,Central,Chhattisgarh,District-44,Kharif,54,1195,121,Red
Maize,West,Gujarat,District-7,Rabi,212,808,654.11,Black
Pulses,West,Gujarat,District-49,Rabi,275,496,629.48,Sandy
Rice,North,Uttar Pradesh,District-43,Rabi,79,935,248.21,Red
Sugarcane,South,Karnataka,District-4,Rabi,39,1111,137.51,Black
Cotton,South,Karnataka,District-24,Kharif,46,777,116.59,Sandy
Rice,South,Andhra Pradesh,District-41,Annual,80,1160,222.6,Black
Pulses,North,Punjab,District-35,Kharif,275,564,792.61,Alluvial
Maize,Central,Madhya Pradesh,District-21,Rabi,205,685,579.17,Sandy
Wheat,South,Tamil Nadu,District-31,Kharif,104,550,292.66,Sandy
Sugarcane,South,Tamil Nadu,District-21,Rabi,242,1164,790.72,Loamy
Wheat,Central,Madhya Pradesh,District-7,Rabi,121,485,420.89,Black
Pulses,North,Uttar Pradesh,District-31,Rabi,103,578,391.17,Loamy
Pulses,South,Andhra Pradesh,District-4,Annual,294,632,867.55,Sandy
Cotton,North,Punjab,District-21,Annual,264,934,590.94,Red
Sugarcane,East,West Bengal,District-7,Kharif,148,1256,379.32,Sandy
Cotton,Central,Chhattisgarh,District-34,Kharif,199,839,692.48,Alluvial
Rice,East,West Bengal,District-4,Rabi,90,1345,196.89,Sandy
Rice,South,Karnataka,District-2,Rabi,288,1265,1025.67,Loamy
Sugarcane,West,Gujarat,District-27,Annual,284,1311,1121.51,Loamy
Pulses,Central,Chhattisgarh,District-18,Annual,141,583,352.48,Sandy
Wheat,South,Andhra Pradesh,District-49,Rabi,17,481,50,Black
Pulses,North,Haryana,District-48,Kharif,13,607,57.35,Black
Sugarcane,Central,Madhya Pradesh,District-48,Kharif,187,1098,688.02,Loamy
Cotton,South,Andhra Pradesh,District-17,Annual,292,656,588.24,Sandy
Wheat,South,Andhra Pradesh,District-2,Kharif,40,622,88.61,Black
Sugarcane,South,Tamil Nadu,District-7,Kharif,60,1354,129.07,Loamy
Wheat,Central,Madhya Pradesh,District-21,Annual,84,420,276.95,Black
Pulses,West,Rajasthan,District-49,Annual,278,591,1112.5,Red
Cotton,North,Punjab,District-36,Annual,168,1084,464.46,Red
Rice,Central,Chhattisgarh,District-43,Annual,190,1017,743.01,Red
Cotton,West,Rajasthan,District-46,Kharif,230,611,927.37,Red
Rice,East,Bihar,District-16,Rabi,127,1330,563.65,Loamy
Pulses,Central,Chhattisgarh,District-26,Annual,255,523,1132.36,Black
Maize,East,Odisha,District-38,Kharif,128,574,494.26,Loamy
Wheat,North,Uttar Pradesh,District-4,Annual,234,586,587.25,Red
Rice,East,West Bengal,District-50,Annual,269,1459,1057.98,Black
Pulses,North,Punjab,District-1,Annual,98,562,318.93,Alluvial
Sugarcane,East,West Bengal,District-28,Rabi,49,1526,202.62,Loamy
Maize,West,Maharashtra,District-50,Kharif,178,782,453.84,Loamy
Rice,North,Punjab,District-2,Kharif,200,1306,736.07,Black
Sugarcane,North,Punjab,District-26,Annual,278,1088,895.15,Black
Pulses,West,Maharashtra,District-33,Rabi,109,473,407.68,Sandy
Sugarcane,Central,Chhattisgarh,District-31,Kharif,290,1097,1068.75,Sandy
Rice,North,Uttar Pradesh,District-12,Annual,284,1001,1098.01,Red
Pulses,North,Haryana,District-33,Kharif,44,416,187.1,Loamy
Pulses,Central,Chhattisgarh,District-43,Rabi,37,571,127.21,Alluvial
Rice,West,Maharashtra,District-15,Annual,255,1194,846.88,Sandy
Maize,North,Haryana,District-38,Kharif,180,714,533.58,Red
Rice,West,Gujarat,District-7,Annual,232,1349,521.28,Loamy
Maize,North,Haryana,District-27,Kharif,55,627,167.78,Alluvial
Wheat,North,Punjab,District-50,Annual,220,441,524.03,Red
Rice,North,Haryana,District-3,Kharif,138,1038,282.32,Sandy
Wheat,West,Maharashtra,District-26,Rabi,177,554,659.8,Black
Maize,Central,Chhattisgarh,District-7,Kharif,195,633,873.49,Black
Maize,South,Andhra Pradesh,District-46,Rabi,185,694,626.68,Sandy
Maize,South,Karnataka,District-46,Rabi,289,875,1057.88,Loamy
Pulses,West,Maharashtra,District-25,Kharif,167,694,379.13,Red
Maize,West,Gujarat,District-43,Rabi,107,583,294.24,Black
